,Unnamed: 0,ab_id,pitcher_id,p_throws,type_confidence,sz_bot,sz_top,nasty,zone,start_speed,end_speed,spin_rate,spin_dir,break_angle,break_length,break_y,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,px,pz,x,y,inning
79,2366422,2018057041,502026,R,2.0,1.43479,3.27416,44.0,14.0,95.9,88.1,2284.19,244.572,37.4,6.3,23.8,-10.0525,4.77914,-0.757947,50.0,5.36954,6.16751,-139.47,-6.9923899999999986,-19.8318,30.9029,-22.7456,0.174318,1.33371,110.36,202.77,10
80,2676558,2018136759,453172,R,2.0,1.61287,3.4680699999999995,65.0,13.0,91.5,85.0,1802.06,275.822,23.9,8.4,23.9,-9.05139,-0.922865,-2.61858,50.0,5.0922,6.79214,-133.19799999999998,-3.71184,-16.4596,25.3405,-33.8522,-1.22685,1.2646700000000002,163.77,204.64,7
81,2213116,2018017859,488768,R,2.0,1.6606900000000002,3.43855,31.0,1.0,81.9,74.6,1676.82,235.362,23.2,7.6,23.8,-7.898519999999999,5.45634,-0.7815,50.0,6.47886,3.68698,-119.146,-2.54604,-11.3303,23.3335,-24.347,-0.238361,3.1916,126.08,152.59,3
82,2192304,2018012557,488768,R,2.0,1.71617,3.53725,34.0,2.0,93.9,84.6,2741.36,204.409,44.1,3.1,23.7,-5.69542,12.5494,-0.791299,50.0,6.23192,3.75235,-136.344,-6.00179,-10.6473,31.9067,-8.71378,-0.13225,3.39106,122.04,147.22,1
83,2168000,2018006455,433587,R,2.0,1.26125,3.05766,49.0,1.0,89.3,82.4,1921.59,236.157,29.2,6.3,23.8,-8.29186,5.5597900000000005,-2.04273,50.0,5.84628,6.8769300000000015,-129.855,-4.09598,-14.2855,24.9031,-22.5954,-0.44896,2.54831,134.11,169.97,4
84,2632257,2018125319,489265,R,0.903,1.61411,3.53038,35.0,14.0,76.2,68.9,2205.22,113.657,-32.3,10.3,23.7,12.7412,5.58147,-2.79365,50.0,4.70072,5.01476,-110.532,-1.82798,15.3893,24.0507,-25.4325,1.17582,1.13048,72.18,208.26,9
85,2808686,2018170534,489265,R,0.909,1.7718,3.59792,39.0,14.0,80.3,73.3,2135.48,254.037,27.3,9.4,23.8,-12.0745,3.4538300000000004,-2.26494,50.0,4.86495,11.1189,-116.382,-2.58851,-16.4703,22.9558,-27.4628,1.01829,1.12295,77.9,208.43,9
86,2466277,2018082626,502026,R,2.0,1.41362,3.6895,31.0,11.0,91.7,85.1,1099.52,255.21400000000003,17.5,6.9,23.9,-5.33004,1.40685,-0.839424,50.0,5.6727,2.03936,-133.71200000000002,-2.22782,-9.79819,24.6708,-29.5878,-0.7659229999999999,2.73799,146.19,164.85,7
87,2441676,2018076335,601713,R,2.0,1.46357,3.34461,32.0,5.0,94.8,85.7,2587.51,204.109,34.5,3.1,23.7,-5.26536,11.7651,-2.4544200000000003,50.0,6.16435,8.370989999999999,-137.578,-8.58284,-10.0235,32.4507,-9.7772,-0.0469528,2.3290900000000003,118.69,175.56,1
88,2769376,2018160539,453172,R,2.0,1.38209,2.95478,66.0,13.0,91.3,83.9,1476.81,290.439,16.8,8.9,23.8,-7.07797,-2.63762,-2.545,50.0,5.17041,7.012060000000001,-132.745,-3.42558,-12.6619,27.7297,-36.8925,-0.7920470000000001,1.18468,147.19,206.79,9
